period,confidence_floor,scope,entity,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,rule,validation_kappa,validation_precision_pct,validation_sensitivity_pct
FY2021_FY2025,corroborated,Department of Surgery,IPF10005742,27306458.0,50,19,25271360.0,44,0,8,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,IPF6959701,17867914.0,50,18,7369187.0,11,0,9,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,IPF1520001,8721566.0,25,9,6866026.0,16,0,6,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,IPF1518602,22100589.0,49,20,19768694.0,33,0,12,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,IPF4155008,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,IPF3617301,696928.0,5,1,0.0,0,0,1,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,IPF1525701,13180043.0,31,13,9043545.0,17,0,7,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,MEEI,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,MGB_CORE,266033307.0,364,134,91866275.0,179,0,80,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),MGH,42064600.0,60,58,18840054.0,34,0,43,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),BWH,31697320.0,40,36,16494902.0,27,0,25,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),IPF10040927,21349749.0,46,44,13619886.0,22,0,34,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),IPF10068583,1212780.0,3,1,0.0,0,0,1,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),IPF861001,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),IPF4976101,13611613.0,20,20,6480378.0,12,0,16,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),IPF1504801,28826937.0,48,47,21373077.0,32,0,26,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),IPF5079202,26858086.0,21,21,6345872.0,10,0,19,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),IPF615001,5001438.0,9,9,4621975.0,8,0,7,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),DFCI,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),IPF1499101,26069666.0,21,18,4421065.0,8,0,11,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),BIDMC,9213554.0,16,16,6639598.0,10,0,10,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),IPF1225501,10205298.0,19,18,8676497.0,17,0,12,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),IPF7893501,3545179.0,6,6,2776038.0,4,0,3,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),IPF1531401,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),IPF3058203,4449148.0,6,6,4449148.0,6,0,5,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),IPF1495302,4408351.0,9,9,3713716.0,6,0,6,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),IPF4976105,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
