period,rank,canonical_org_id,canonical_name,display_name,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,evidence_basis,confidence_floor,funding_per_investigator,r01_funding_per_investigator,funding_per_project,mean_award_size,r01_share_of_funding,meets_intensity_floor,rank_award_years,rank_r01_funding,rank_r01_award_years
FY2021_FY2025,64,IPF1523902,UNIVERSITY OF CINCINNATI,University of Cincinnati,4941099.0,17,8,1316100.0,4,0,8,NIH ORG_DEPT (contact PI),n/a,617637.0,164512.0,617637.0,290653.0,26.6,True,58,75,66
FY2021_FY2025,65,IPF578417,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,UTHealth Houston,4656817.0,11,3,0.0,0,0,3,NIH ORG_DEPT (contact PI),n/a,1552272.0,0.0,1552272.0,423347.0,0.0,False,65,81,81
FY2021_FY2025,66,IPF218601,CASE WESTERN RESERVE UNIVERSITY,Case Western Reserve,4178457.0,11,5,3684958.0,8,0,4,NIH ORG_DEPT (contact PI),n/a,1044614.0,921240.0,835691.0,379860.0,88.2,False,65,63,61
FY2021_FY2025,67,IPF578302,UNIVERSITY OF TENNESSEE HEALTH SCI CTR,UTHSC Memphis,3703432.0,3,2,3703432.0,3,0,2,NIH ORG_DEPT (contact PI),n/a,1851716.0,1851716.0,1851716.0,1234477.0,100.0,False,83,62,70
FY2021_FY2025,68,IPF578403,UNIVERSITY OF TEXAS AT AUSTIN,UT Austin,3172673.0,6,5,1715201.0,3,0,7,NIH ORG_DEPT (contact PI),n/a,453239.0,245029.0,634535.0,528779.0,54.1,True,71,70,70
FY2021_FY2025,69,IPF5992614,STATE UNIVERSITY OF NEW YORK AT BUFFALO,University at Buffalo,3012291.0,5,2,2560634.0,4,0,4,NIH ORG_DEPT (contact PI),n/a,753073.0,640158.0,1506146.0,602458.0,85.0,False,72,65,66
FY2021_FY2025,70,IPF578406,UNIVERSITY OF TEXAS MED BR GALVESTON,UTMB Galveston,2680695.0,10,4,0.0,0,0,7,NIH ORG_DEPT (contact PI),n/a,382956.0,0.0,670174.0,268070.0,0.0,True,67,81,81
FY2021_FY2025,71,IPF6297007,OREGON HEALTH & SCIENCE UNIVERSITY,OHSU,2614064.0,13,6,857480.0,3,0,7,NIH ORG_DEPT (contact PI),n/a,373438.0,122497.0,435677.0,201082.0,32.8,True,64,77,70
FY2021_FY2025,72,IPF10021612,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,UNM Health Sciences,2613286.0,7,4,2423242.0,6,0,4,NIH ORG_DEPT (contact PI),n/a,653322.0,605810.0,653322.0,373327.0,92.7,False,69,67,64
FY2021_FY2025,73,IPF3839801,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,Mount Sinai,1892627.0,4,4,1723152.0,3,0,3,NIH ORG_DEPT (contact PI),n/a,630876.0,574384.0,473157.0,473157.0,91.0,False,78,69,70
FY2021_FY2025,74,IPF8455007,ALBANY MEDICAL COLLEGE,Albany Medical College,1771288.0,5,2,1380095.0,3,0,3,NIH ORG_DEPT (contact PI),n/a,590429.0,460032.0,885644.0,354258.0,77.9,False,72,73,70
FY2021_FY2025,75,IPF577902,LSU HEALTH SCIENCES CENTER,LSU Health New Orleans,1728598.0,5,2,1728598.0,5,0,3,NIH ORG_DEPT (contact PI),n/a,576199.0,576199.0,864299.0,345720.0,100.0,False,72,68,65
FY2021_FY2025,76,IPF1003201,BROWN UNIVERSITY,Brown University,1707931.0,3,1,1707931.0,3,0,1,NIH ORG_DEPT (contact PI),n/a,1707931.0,1707931.0,1707931.0,569310.0,100.0,False,83,71,70
FY2021_FY2025,77,IPF2869001,GEORGETOWN UNIVERSITY,Georgetown University,1541823.0,4,2,1541823.0,4,0,2,NIH ORG_DEPT (contact PI),n/a,770912.0,770912.0,770912.0,385456.0,100.0,False,78,72,66
FY2021_FY2025,78,IPF676605,AUGUSTA UNIVERSITY,Augusta University,1347334.0,2,1,1347334.0,2,0,1,NIH ORG_DEPT (contact PI),n/a,1347334.0,1347334.0,1347334.0,673667.0,100.0,False,86,74,77
FY2021_FY2025,79,IPF4050801,THOMAS JEFFERSON UNIVERSITY,Thomas Jefferson University,1217371.0,5,2,1061371.0,3,0,2,NIH ORG_DEPT (contact PI),n/a,608686.0,530686.0,608686.0,243474.0,87.2,False,72,76,70
FY2021_FY2025,80,IPF829903,UNIVERSITY OF NEVADA RENO,"University of Nevada, Reno",1119208.0,4,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,1119208.0,0.0,1119208.0,279802.0,0.0,False,78,81,81
FY2021_FY2025,81,IPF10034169,RBHS-NEW JERSEY MEDICAL SCHOOL,Rutgers NJ Medical School,1021005.0,5,4,0.0,0,0,3,NIH ORG_DEPT (contact PI),n/a,340335.0,0.0,255251.0,204201.0,0.0,False,72,81,81
FY2021_FY2025,82,IPF2863301,GEORGE WASHINGTON UNIVERSITY,George Washington University,951309.0,3,2,0.0,0,0,4,NIH ORG_DEPT (contact PI),n/a,237827.0,0.0,475654.0,317103.0,0.0,False,83,81,81
FY2021_FY2025,83,IPF8424601,TULANE UNIVERSITY OF LOUISIANA,Tulane,945314.0,4,2,586082.0,2,0,1,NIH ORG_DEPT (contact PI),n/a,945314.0,586082.0,472657.0,236328.0,62.0,False,78,79,77
FY2021_FY2025,84,IPF5390304,UNIVERSITY OF MISSISSIPPI MED CTR,Mississippi Medical Center,943752.0,7,2,0.0,0,0,2,NIH ORG_DEPT (contact PI),n/a,471876.0,0.0,471876.0,134822.0,0.0,False,69,81,81
FY2021_FY2025,85,IPF850903,UNIV OF MASSACHUSETTS MED SCH WORCESTER,UMass Chan Medical School,863108.0,5,2,0.0,0,0,2,NIH ORG_DEPT (contact PI),n/a,431554.0,0.0,431554.0,172622.0,0.0,False,72,81,81
FY2021_FY2025,86,IPF578209,EAST CAROLINA UNIVERSITY,East Carolina University,754312.0,2,1,0.0,0,0,2,NIH ORG_DEPT (contact PI),n/a,377156.0,0.0,754312.0,377156.0,0.0,False,86,81,81
FY2021_FY2025,87,IPF578418,UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,UT Health San Antonio,750022.0,1,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,750022.0,0.0,750022.0,750022.0,0.0,False,91,81,81
FY2021_FY2025,88,IPF513809,FLORIDA INTERNATIONAL UNIVERSITY,Florida International,709718.0,1,1,709718.0,1,0,1,NIH ORG_DEPT (contact PI),n/a,709718.0,709718.0,709718.0,709718.0,100.0,False,91,78,79
FY2021_FY2025,89,IPF1484303,UNIVERSITY OF KANSAS MEDICAL CENTER,Kansas Medical Center,474168.0,1,1,474168.0,1,0,1,NIH ORG_DEPT (contact PI),n/a,474168.0,474168.0,474168.0,474168.0,100.0,False,91,80,79
FY2021_FY2025,90,IPF8240301,TEMPLE UNIV OF THE COMMONWEALTH,Temple University,451734.0,2,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,451734.0,0.0,451734.0,225867.0,0.0,False,86,81,81
FY2021_FY2025,91,IPF5992619,UPSTATE MEDICAL UNIVERSITY,SUNY Upstate,448250.0,2,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,448250.0,0.0,448250.0,224125.0,0.0,False,86,81,81
FY2021_FY2025,92,IPF8285902,TEXAS TECH UNIVERSITY HEALTH SCIS CENTER,Texas Tech Health Sciences,438087.0,2,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,438087.0,0.0,438087.0,219044.0,0.0,False,86,81,81
FY2021_FY2025,93,IPF8721001,VANDERBILT UNIVERSITY,Vanderbilt University,417500.0,4,3,0.0,0,0,5,NIH ORG_DEPT (contact PI),n/a,83500.0,0.0,139167.0,104375.0,0.0,True,78,81,81
FY2021_FY2025,94,IPF578705,UNIVERSITY OF PUERTO RICO MED SCIENCES,Puerto Rico Medical Sciences,243119.0,1,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,243119.0,0.0,243119.0,243119.0,0.0,False,91,81,81
FY2021_FY2025,95,IPF10034170,RBHS-ROBERT WOOD JOHNSON MEDICAL SCHOOL,Rutgers RWJ Medical School,66390.0,1,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,66390.0,0.0,66390.0,66390.0,0.0,False,91,81,81
FY2021_FY2025,96,IPF130401,UNIVERSITY OF SOUTH ALABAMA,University of South Alabama,1.0,1,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,1.0,0.0,1.0,1.0,0.0,False,91,81,81
